rowValid rowReady binIdx rowIdx rowDelta[0] rowDelta[1] rowDelta[2] rowDelta[3] rowDelta[4] rowDelta[5] rowDelta[6] rowDelta[7] IssDelta[0] IssIdx[0] IssValid[0] IssReady[0] IssDelta[1] IssIdx[1] IssValid[1] IssReady[1] IssDelta[2] IssIdx[2] IssValid[2] IssReady[2] IssDelta[3] IssIdx[3] IssValid[3] IssReady[3] 
1 0 5 0 3be1 37f5 3450 3061 0000 3213 2fb9 0000 2549 f5 1 1 3b0d f6 1 0 3623 f7 1 0 30eb b8 1 0 
1 0 5 0 3be1 37f5 3450 3061 0000 3213 2fb9 0000 3b0d f6 1 0 3623 f7 1 0 30eb b8 1 0 376b b9 1 0 
1 0 5 0 3be1 37f5 3450 3061 0000 3213 2fb9 0000 3b0d f6 1 0 3623 f7 1 0 30eb b8 1 0 376b b9 1 0 
1 0 5 0 3be1 37f5 3450 3061 0000 3213 2fb9 0000 3b0d f6 1 1 3623 f7 1 0 30eb b8 1 0 376b b9 1 0 
1 0 5 0 3be1 37f5 3450 3061 0000 3213 2fb9 0000 3623 f7 1 0 30eb b8 1 0 376b b9 1 0 3a76 ba 1 0 
1 1 5 0 3be1 37f5 3450 3061 0000 3213 2fb9 0000 3623 f7 1 0 30eb b8 1 0 376b b9 1 0 3a76 ba 1 0 
1 0 6 0 0000 0000 3a7c 36bb 3aa3 39d1 0000 38bc 3623 f7 1 1 30eb b8 1 0 376b b9 1 0 3a76 ba 1 0 
1 0 6 0 0000 0000 3a7c 36bb 3aa3 39d1 0000 38bc 30eb b8 1 0 376b b9 1 0 3a76 ba 1 0 2f86 bb 1 0 
1 0 6 0 0000 0000 3a7c 36bb 3aa3 39d1 0000 38bc 30eb b8 1 1 376b b9 1 0 3a76 ba 1 0 2f86 bb 1 0 
1 0 6 0 0000 0000 3a7c 36bb 3aa3 39d1 0000 38bc 376b b9 1 0 3a76 ba 1 0 2f86 bb 1 0 3199 bc 1 0 
1 0 6 0 0000 0000 3a7c 36bb 3aa3 39d1 0000 38bc 376b b9 1 1 3a76 ba 1 0 2f86 bb 1 0 3199 bc 1 0 
1 0 6 0 0000 0000 3a7c 36bb 3aa3 39d1 0000 38bc 3a76 ba 1 0 2f86 bb 1 0 3199 bc 1 0 3769 bd 1 0 
1 0 6 0 0000 0000 3a7c 36bb 3aa3 39d1 0000 38bc 3a76 ba 1 0 2f86 bb 1 0 3199 bc 1 0 3769 bd 1 0 
1 0 6 0 0000 0000 3a7c 36bb 3aa3 39d1 0000 38bc 3a76 ba 1 1 2f86 bb 1 0 3199 bc 1 0 3769 bd 1 0 
1 0 6 0 0000 0000 3a7c 36bb 3aa3 39d1 0000 38bc 2f86 bb 1 0 3199 bc 1 0 3769 bd 1 0 328e bf 1 0 
1 0 6 0 0000 0000 3a7c 36bb 3aa3 39d1 0000 38bc 2f86 bb 1 1 3199 bc 1 0 3769 bd 1 0 328e bf 1 0 
1 0 6 0 0000 0000 3a7c 36bb 3aa3 39d1 0000 38bc 3199 bc 1 0 3769 bd 1 0 328e bf 1 0 34ad 89 1 0 
1 0 6 0 0000 0000 3a7c 36bb 3aa3 39d1 0000 38bc 3199 bc 1 1 3769 bd 1 0 328e bf 1 0 34ad 89 1 0 
1 0 6 0 0000 0000 3a7c 36bb 3aa3 39d1 0000 38bc 3769 bd 1 0 328e bf 1 0 34ad 89 1 0 2e6b 8a 1 0 
